sid,Type,Desc,Pinyin1,Chinese1,Translate1,Pinyin2,Chinese2,Translate2
1,,,wǒmen huíjiābā 。,我们回家吧。,We go home.,,,
2,,,wā ， yǒudiǎn rè a ！,哇，有点热啊！,"Wow, it's a little hot!",,,
3,,,wǒmen kěyǐ yīqǐ qù gòuwù ma ？,我们可以一起去购物吗？,Can we go shopping together?,,,
4,,,wǒ xiǎng mǎi yīxiē xīn de yīfú 。,我想买一些新的衣服。,I want to buy some new clothes.,,,
5,,,wǒ fēicháng xǐhuan nǐ de shǒujī ké 。,我非常喜欢你的手机壳。,I absolutely love your phone case.,,,
6,,,qǐng bǎ xíngli fàngzài zhèlǐ 。,请把行李放在这里。,Please leave your luggage here.,,,
7,,,nǐ zhīdào nǎlǐ yǒu dàngāo ma ？,你知道哪里有蛋糕吗？,Do you know where there is cake?,,,
8,,,wǒyào zuò yīxiē miànbāo hé dàngāo 。,我要做一些面包和蛋糕。,I'm going to make some bread and cakes.,,,
9,,,zhèjiàn jiākèshān tàixiǎo le ， kěyǐ huàn yīgè dà yīdiǎn de ma ？,这件夹克衫太小了，可以换一个大一点的吗？,"This jacket is too small, can I change it to a bigger one?",,,
10,,,nǐ xiǎngyào yībēi kāfēi ma ？,你想要一杯咖啡吗？,Would you like a cup of coffee?,,,
11,,,nǐ huì chàng zhè shǒugē ma ？,你会唱这首歌吗？,can you sing this song,,,
12,,,shéi zài qiāomén ？,谁在敲门？,Who is knocking?,,,
13,,,tīng tiānqìyùbào shuō yǒu yǔ 。,听天气预报说有雨。,Listen to the weather forecast for rain.,,,
14,,,qǐng bǎ zhuōzi cā gānjìng 。,请把桌子擦干净。,Please wipe the table clean.,,,
15,,,wǒ xiǎngyào pāi yīzhāng zhàopiàn,我想要拍一张照片,i want to take a photo,,,
16,,,nǐ jīntiān zǎoshang gǎnjué zěnmeyàng ？,你今天早上感觉怎么样？,How are you feeling this morning?,,,
17,,,nǐhuì zuòdiǎn shénme ？,你会做点什么？,what will you do,,,
18,,,nǐ de yīngyǔ jìnbù hěnkuài 。,你的英语进步很快。,Your English is improving very fast.,,,
19,,,wǒ zài děng gōnggòngqìchē 。,我在等公共汽车。,I'm waiting for the bus.,,,
20,,,wǒmen dào nǎlǐ qù lǚxíng ？,我们到哪里去旅行？,Where are we going to travel?,,,
21,,,wǒ xiǎng mǎi yībù shǒujī 。,我想买一部手机。,I want to buy a mobile phone.,,,
22,,,nǐ shénme shíhou zhǔnbèi ？,你什么时候准备？,When are you ready?,,,
23,,,nǐ zhīdào zěnme qù shāngchǎng ma ？,你知道怎么去商场吗？,Do you know how to get to the mall?,,,
24,,,wǒ xūyào yīzhāng qù guǎngzhōu de chēpiào 。,我需要一张去广州的车票。,I need a ticket to Guangzhou.,,,
25,,,nǐ yǒu zìjǐ de xiǎochē ma ？,你有自己的小车吗？,Do you have your own car?,,,
26,,,nǐ yǒu jīntiān de bàozhǐ ma ？,你有今天的报纸吗？,Do you have today's newspaper?,,,
27,,,néng bāng wǒ mǎi yīxiē shuǐguǒ ma ？,能帮我买一些水果吗？,Can you buy some fruit for me?,,,
28,,,nǐ yǒuméiyǒu kànguò zhèbù diànyǐng ？,你有没有看过这部电影？,Have you ever seen this movie?,,,
29,,,nǐ yǒuméiyǒu tīngshuō guò zhège xīnwén ？,你有没有听说过这个新闻？,Have you heard the news?,,,
30,,,qǐng bǎ yǐzi yí dào nàbian qù 。,请把椅子移到那边去。,Please move the chair over there.,,,
31,,,nǐ zhīdào zhè běnshū duōshǎo qián ma ？,你知道这本书多少钱吗？,Do you know how much this book costs?,,,
32,,,wǒ zhèngzài kàn zhè běnshū 。,我正在看这本书。,I am reading this book.,,,
33,,,nǐ zhīdào duōchángshíjiān kěyǐ dàodá ma ？,你知道多长时间可以到达吗？,Do you know how long it takes to arrive?,,,
34,,,wǒnéng nádào yīzhāng chēpiào ma ？,我能拿到一张车票吗？,Can I get a ticket?,,,
35,,,nǐ yǒu duōjiǔ méiyǒu huíjiā le ？,你有多久没有回家了？,How long have you been home?,,,
36,,,nǐ zhīdào jiàoshì zài nǎlǐ ma ？,你知道教室在哪里吗？,Do you know where the classroom is?,,,
37,,,wǒ xūyào zhǔnbèi shénme dōngxi ？,我需要准备什么东西？,What do I need to prepare?,,,
38,,,jīnwǎn yànhuì yào kāishǐ le 。,今晚宴会要开始了。,The banquet is about to begin tonight.,,,
39,,,qǐng bǎ chuānghù guānshàng 。,请把窗户关上。,Please close the window.,,,
40,,,jīnwǎn de tiānqì rúhé ？,今晚的天气如何？,How is the weather tonight?,,,
41,,,wǒ xiǎng míngtiān qù gōngyuán 。,我想明天去公园。,I want to go to the park tomorrow.,,,
42,,,wǒmen jīnwǎn kěyǐ qù kàn diànyǐng ma ？,我们今晚可以去看电影吗？,Can we go to the movies tonight?,,,
43,,,wǒyào qù nǎge yínháng ？,我要去哪个银行？,Which bank do I go to?,,,
44,,,qǐng bùyào zài zhèlǐ xīyān 。,请不要在这里吸烟。,Please don't smoke here.,,,
45,,,jīntiān kōngqìwūrǎn yánzhòng 。,今天空气污染严重。,The air pollution is serious today.,,,
46,,,bǎ yàoshi fàngdào nàli hǎo ma ？,把钥匙放到那里好吗？,Can you put the key there?,,,
47,,,wǒ zhèngzài xuéxí zhōngwén 。,我正在学习中文。,I am learning Chinese.,,,
48,,,biéwàngle mǎi bàozhǐ 。,别忘了买报纸。,Don't forget to buy a newspaper.,,,
49,,,wǒmen xiànzài yīnggāi kāichē qù ma ？,我们现在应该开车去吗？,Should we drive there now?,,,